;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
72;10683827;11746725;11933895;12939424;15099600;15734339;17239098;17403973;18331801;19204791;20857080;21499511;22119640;23417665;24671338;26493606;27421545;28619657
73;10832579;11166936;11896642;14642478;15325388;15691723;16769226;17124286;17997111;19419384;20877723;19913944;22102437;24037607;24162516;25070538;27129794;28125735
74;10873810;11162266;12377174;14725930;15219593;16286927;16546086;17383616;18585742;18172849;20582997;21571474;22836172;23228862;23794715;26291769;26245836;28673806
75;11050640;11679206;12498741;12668352;15219601;16026571;16168676;17476681;17988895;18711711;21179564;19880216;23019120;23732871;23787950;26117812;27318594;27893013
76;10875900;11224551;11930131;12546827;14741644;15811239;16861010;17306772;18589510;18671278;19646537;21304991;22218285;22403154;24038516;25800210;27481817;28436832
77;10988033;11559855;11930139;12711074;15465974;16398586;16596617;17171381;18228024;19482231;20571275;21673607;22585371;23743260;25058058;25820129;27192955;28483974
78;10910686;11135651;11817892;12880912;15500514;16027008;17131602;17317297;18262122;19521645;20391186;21097547;21948954;23011408;24916094;26737122;27417056;28089970
79;10729346;11784442;12009264;12816895;15006652;15931080;16256374;17631361;19163753;19494138;20600178;21751243;22569192;23899723;24927987;25775237;26746180;28338944
80;10943726;11571324;11983183;13680443;15022664;15907321;16575427;17873494;18797307;19465009;20410358;20429854;23153997;23266744;24553940;26583118;27222305;27936814
81;10817599;11525326;11943821;14683712;14741670;16597792;16892057;17467956;18692890;19523932;20949134;21262807;22480957;22997053;25173413;25800207;26888566;29236772
82;10884068;11742227;12169250;14561113;15193597;16849204;16620890;17292628;18337125;19322727;21095983;21632946;22846239;23518470;24590225;25873090;26883066;28375207
83;10848568;11305899;11889237;14725933;15351525;16310111;16846694;17215478;18958377;19196315;20615318;20673804;22064161;23446024;24167119;25711502;27240599;28722337
84;10934265;11523688;12163553;14627638;15195287;15734340;17946850;17290372;18581345;19306432;20033355;21433068;21609969;22941724;24899698;26045346;27526621;28901711
85;10888341;11521214;11784775;14502082;15589094;16086372;17182769;17587600;18716815;19912333;20003075;21091867;21925190;23255830;24185015;25671708;27911950;27869302
86;10899227;11162279;12464460;14642268;15140813;16150703;16894581;17188464;18275331;19041896;19813172;21228154;22262881;23678117;24771411;24243619;26732959;29195564
87;10668734;11287655;12205164;14568440;15205869;16356321;16959501;17109899;18601618;19352638;21150060;20347995;23001457;23219044;25080601;25514657;26045566;28898485
88;10788716;11707099;12433382;12571121;15453969;15652302;16839289;18077688;18388729;19264490;20621407;21491106;22640392;22430303;24532549;26412094;27092470;27074863
89;11145463;11409720;12417991;14568109;14741677;16306418;16862719;17973998;18991195;19706472;20172799;21447906;23155368;24229536;24959703;25726898;27479977;28862997
